Province Name;#Classrooms - Kindergarten;#Classrooms - Primary School;#Classrooms - Secondary School;#Classrooms - High School;#Students - Kindergarten;#Students - Primary School;#Students - Secondary School;#Students -High School;#Teachers - Kindergarten;#Teachers - Primary School;#Teachers - Secondary School;#Teachers - High School;#Schools - Kindergarten;#Schools - Primary School;#Schools - Secondary School;#Schools - High School;Schooling Ratio - Kindergarten;Schooling Ratio - Primary School;Schooling Ratio - Secondary School;Schooling Ratio - High School;Student per Teacher - Kindergarten;Student per Teacher - Primary School;Student per Teacher - Secondary School;Student per Teacher - High School;Student per School - Kindergarten;Student per School - Primary School;Student per School - Secondary School;Student per School - High School;Student per Classroom - Kindergarten;Student per Classroom - Primary School;Student per Classroom - Secondary School;Student per Classroom - High School;Education Budget per Student;HDI Index;;;;;;
Bilecik;268;734;462;575;4445;11326;10884;13921;293;667;800;890;71;53;51;43;;;;;15,17064846;16,98050975;13,605;15,64157303;62,6056338;83,86792453;213,4117647;323,744186;16,5858209;15,43051771;23,55844156;24,21043478;;;;;;;;
Bingöl;311;1035;899;882;6303;19290;19177;24860;350;1251;1592;1432;148;189;101;53;;;;;18,00857143;15,41966427;12,04585427;17,3603352;42,58783784;33,34920635;189,8712871;469,0566038;20,26688103;18,63768116;21,33147942;28,18594104;;;;;;;;
Bitlis;503;2379;1335;1050;10017;28725;29464;34806;483;1959;2549;1547;287;406;200;68;;;;;20,73913043;14,66309342;11,55904276;22,49903038;34,90243902;24,67241379;147,32;511,8529412;19,91451292;12,07440101;22,07041199;33,14857143;;;;;;;;
Bolu;339;1053;651;824;5650;14918;15185;21697;364;959;1331;1498;93;68;71;58;;;;;15,52197802;15,55578728;11,40871525;14,48397864;60,75268817;83,08823529;213,8732394;374,0862069;16,66666667;14,1671415;23,32565284;26,33131068;;;;;;;;
Burdur;306;943;634;759;5564;12717;12394;15945;363;973;1229;1319;122;87;89;60;;;;;15,32782369;13,06988695;10,08462164;12,08870356;45,60655738;63,95402299;139,258427;265,75;18,18300654;13,48568399;19,5488959;21,00790514;;;;;;;;
Bursa;3456;8378;5967;8015;64897;197514;188378;218205;3588;10364;11910;14087;896;500;529;439;;;;;18,08723523;19,05769973;15,81679261;15,4898133;72,4296875;129,794;356,1020794;497,0501139;18,77806713;23,5753163;31,56996816;27,22457891;;;;;;;;
Çanakkale;597;1428;982;1329;10658;24484;23293;29570;767;1625;1982;2464;184;129;109;107;;;;;13,89569752;15,06707692;11,75227043;12,00081169;57,92391304;82,62015504;213,6972477;276,3551402;17,85259631;17,14565826;23,71995927;22,24981189;;;;;;;;
Çankýrý;167;539;484;534;3191;8636;8635;11288;200;479;687;768;58;54;51;38;;;;;15,955;18,02922756;12,56914119;14,69791667;55,01724138;59,09259259;169,3137255;297,0526316;19,10778443;16,02226345;17,84090909;21,13857678;;;;;;;;
Çorum;490;1760;1392;1620;10189;27279;27471;37324;634;1697;2446;2598;165;172;150;105;;;;;16,07097792;16,07483795;11,23098937;14,36643572;61,75151515;59,23837209;183,14;355,4666667;20,79387755;15,49943182;19,73491379;23,03950617;;;;;;;;
Denizli;1346;3440;2894;3090;23019;57138;54465;70161;1513;3698;4786;5313;410;280;256;184;;;;;15,21414408;15,45105462;11,38006686;13,2055336;56,14390244;82,21071429;212,7539063;381,3097826;17,10178306;16,60988372;18,81997236;22,70582524;;;;;;;;
Diyarbakýr;1942;6618;3871;4784;51534;155220;149534;172670;2439;8522;9760;8244;910;877;528;266;;;;;21,12915129;18,21403426;15,32110656;20,94492965;56,63076923;58,76168757;283,2083333;649,1353383;26,53656025;23,45421578;38,62929476;36,09322742;;;;;;;;
Edirne;368;1260;857;1058;6836;16854;16166;19297;426;1260;1496;1767;142;106;99;76;;;;;16,04694836;13,37619048;10,80614973;10,92076967;48,14084507;64,49056604;163,2929293;253,9078947;18,57608696;13,37619048;18,86347725;18,23913043;;;;;;;;
Elazýð;623;1934;1392;1706;11716;34642;35014;47154;592;2114;2702;3191;223;186;143;102;;;;;19,79054054;16,38694418;12,95854922;14,77718584;52,53811659;62,98924731;244,8531469;462,2941176;18,80577849;17,91209928;25,15373563;27,64009379;;;;;;;;
Erzincan;309;874;688;699;6137;12100;11790;16512;375;831;1146;1222;121;86;69;52;;;;;16,36533333;14,56077016;10,28795812;13,51227496;50,71900826;71,36046512;170,8695652;317,5384615;19,86084142;13,84439359;17,13662791;23,6223176;;;;;;;;
Erzurum;950;3484;2685;2487;18513;50175;49592;65987;942;3194;4378;3882;398;646;325;141;;;;;19,65286624;15,70914214;11,32754683;16,99819681;46,51507538;28,65789474;152,5907692;467,9929078;19,48736842;14,40154994;18,47001862;26,53277041;;;;;;;;
Eskiþehir;946;2342;1559;2085;17116;43923;42552;58227;1147;2952;3551;4224;266;152;138;127;;;;;14,92240628;14,87906504;11,98310335;13,78480114;64,34586466;112,6052632;308,3478261;458,480315;18,09302326;18,75448335;27,2944195;27,92661871;;;;;;;;
Gaziantep;2179;7762;6415;6421;60087;227818;209289;210860;2733;10250;11864;10202;580;552;392;309;;;;;21,98572997;22,22614634;17,64067768;20,66849637;103,5982759;108,8532609;533,9005102;682,394822;27,57549335;29,35042515;32,62494154;32,83912163;;;;;;;;
Giresun;415;1304;1039;1340;8514;18677;19444;26809;544;1277;2005;2340;172;117;139;97;;;;;15,65073529;14,6256852;9,697755611;11,45683761;49,5;72,76923077;139,8848921;276,3814433;20,51566265;14,32285276;18,71414822;20,00671642;;;;;;;;
Gümüþhane;149;371;533;375;2622;5573;5451;7782;159;405;636;562;53;55;52;33;;;;;16,49056604;13,76049383;8,570754717;13,84697509;49,47169811;47,67272727;104,8269231;235,8181818;17,59731544;15,02156334;10,22701689;20,752;;;;;;;;
Hakkari;237;1164;673;916;6954;20036;21300;36730;343;1285;1764;1473;151;210;121;55;;;;;20,27405248;15,5922179;12,07482993;24,93550577;46,05298013;33,11428571;176,0330579;667,8181818;29,34177215;17,21305842;31,64933135;40,09825328;;;;;;;;
Hatay;2024;7161;4440;4586;51693;151564;143821;154447;2453;8696;9649;8207;702;590;466;256;;;;;21,07337954;17,42916283;14,90527516;18,81893506;73,63675214;87,61525424;308,6287554;603,3085938;25,54001976;21,16520039;32,39211712;33,67793284;;;;;;;;
Isparta;562;1209;1591;1407;9362;21949;21983;29033;657;1612;2161;2299;205;168;134;91;;;;;14,24961948;13,61600496;10,17260528;12,62853415;45,66829268;55,72619048;164,0522388;319,043956;16,65836299;18,15467328;13,81709617;20,63468372;;;;;;;;
Mersin;2095;6560;3661;5346;51143;133585;127729;148035;2657;7942;9146;9215;659;475;418;307;;;;;19,24840045;16,82007051;13,96555871;16,06456864;77,60698027;107,6694737;305,5717703;482,1986971;24,41193317;20,36356707;34,88910134;27,69079686;;;;;;;;
Ýstanbul;15957;36081;27132;35217;314533;948638;933058;1217806;17660;44850;51076;60589;3960;1637;1785;1785;;;;;17,81047565;21,15134894;18,26803195;20,099457;79,42752525;192,13989;522,7215686;682,2442577;19,71128658;26,29189878;34,38957688;34,58006077;;;;;;;;
Ýzmir;4624;10400;8055;9749;90089;233625;229391;289143;5273;14729;16912;18980;1397;817;686;571;;;;;17,08496112;15,86156562;13,56380085;15,23408851;64,48747316;110,2680539;334,3892128;506,380035;19,48291522;22,46394231;28,47808814;29,65873423;;;;;;;;
Kars;424;1656;1022;787;6606;19069;19920;22754;357;1422;1765;1203;256;348;165;50;;;;;18,50420168;13,40998594;11,28611898;18,91438071;25,8046875;18,98275862;120,7272727;455,08;15,58018868;11,51509662;19,49119374;28,91232529;;;;;;;;
Kastamonu;344;1098;895;1028;6251;15705;16700;23996;378;1080;1624;1715;118;104;104;80;;;;;16,53703704;14,54166667;10,28325123;13,99183673;52,97457627;60,10576923;160,5769231;299,95;18,17151163;14,30327869;18,65921788;23,34241245;;;;;;;;
Kayseri;1392;5446;2865;3976;29260;98427;96619;120932;1987;5454;6913;6984;414;392;345;217;;;;;14,72571716;18,04675468;13,97642124;17,31557847;70,6763285;74,64285714;280,0550725;557,2903226;21,02011494;18,07326478;33,72390925;30,41549296;;;;;;;;
