Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Kahramanmaraş,738,3446,2456,1969,15896,97148,92299,76732,871,4738,4670,3735,457,639,307,143,41.24,99.39,93.35,68.49,18.25028703,20.50401013,19.76423983,20.54404284,34.7833698,152.0312989,300.6482085,536.5874126,21.53929539,28.19152641,37.58102606,38.97003555,19.48501994,0.764,"5,496,237"
Mardin,499,3433,1074,1380,11051,88723,83140,66693,615,3721,3520,2360,387,633,240,96,25.82,100,91.61,58.47,17.96910569,23.84385918,23.61931818,28.25974576,28.55555556,140.1627172,346.4166667,694.71875,22.14629259,25.84415963,77.41154562,48.32826087,15.67732876,0.589,"3,913,171"
Muğla,723,2758,2039,1586,12151,49231,48040,52267,896,3470,3340,3291,393,357,224,132,61.34,99.49,95.6,81.96,13.56138393,14.18760807,14.38323353,15.88179885,30.91857506,137.9019608,214.4642857,395.9621212,16.80636238,17.85025381,23.56056891,32.95523329,25.30825226,0.705,"4,092,066"
Muş,320,2284,842,653,6947,51789,50665,26270,373,1976,2081,1111,271,453,191,59,29.77,99.9,86.46,42.42,18.62466488,26.2090081,24.34646804,23.64536454,25.63468635,114.3245033,265.2617801,445.2542373,21.709375,22.67469352,60.17220903,40.22970904,19.38490171,0.589,"2,629,969"
Nevşehir,236,1055,987,702,4814,19604,18932,18157,289,1287,1342,1270,147,138,100,63,59.16,99.43,95.49,76.5,16.65743945,15.23232323,14.10730253,14.29685039,32.74829932,142.057971,189.32,288.2063492,20.39830508,18.58199052,19.18135765,25.86467236,28.13439121,0.714,"1,730,462"
Niğde,317,1148,1396,792,5157,26330,25661,23273,318,1652,1561,1422,178,176,124,62,48.97,99.17,93.73,73.27,16.21698113,15.93825666,16.43882127,16.36638537,28.97191011,149.6022727,206.9435484,375.3709677,16.2681388,22.93554007,18.38180516,29.38510101,28.70921774,0.714,"2,308,824"
Ordu,430,2177,1599,1574,8753,42367,46162,47883,508,2532,2940,3099,264,297,213,122,46.07,97.97,94.92,77.12,17.23031496,16.73262243,15.70136054,15.45111326,33.15530303,142.6498316,216.7230047,392.4836066,20.35581395,19.46118512,28.86929331,30.42121982,24.69716529,0.699,"3,585,164"
Rize,228,1456,617,1027,4170,18662,20775,28998,273,1312,1411,1689,118,98,100,79,48.77,98.94,97.84,100,15.27472527,14.22408537,14.72360028,17.1687389,35.33898305,190.4285714,207.75,367.0632911,18.28947368,12.81730769,33.67098865,28.23563778,52.6444322,0.699,"3,822,249"
Sakarya,642,2133,2597,1583,13030,60234,62539,66169,794,3267,3262,3418,370,341,247,147,44.98,99.6,96.58,83.61,16.41057935,18.43709826,19.17198038,19.35898186,35.21621622,176.6392962,253.194332,450.1292517,20.29595016,28.23909986,24.08124759,41.79974732,22.39832749,0.734,"4,523,835"
Samsun,878,3660,2861,2637,17080,79454,86129,93669,1142,5240,5089,5427,563,651,300,193,47.2,100,97.07,81.33,14.95621716,15.1629771,16.92454313,17.25981205,30.3374778,122.0491551,287.0966667,485.3316062,19.45330296,21.70874317,30.10450891,35.52104664,28.48417483,0.679,"7,871,089"
Siirt,298,1697,555,603,7464,38392,36047,26139,356,1640,1456,967,209,314,129,51,40.24,99.83,90.18,54.01,20.96629213,23.4097561,24.75755495,27.03102378,35.71291866,122.2675159,279.4341085,512.5294118,25.04697987,22.62345315,64.94954955,43.34825871,19.01481831,0.589,"2,054,399"
Sinop,137,823,397,539,2483,10607,11561,13352,187,623,735,991,78,91,55,61,51.8,97.69,95.32,83.56,13.27807487,17.02568218,15.7292517,13.47325933,31.83333333,116.5604396,210.2,218.8852459,18.12408759,12.88821385,29.1209068,24.77179963,33.0568113,0.679,"1,256,258"
Sivas,381,2489,1596,1384,6880,43119,42580,45752,426,2423,2911,2692,233,416,211,120,37.83,99.42,95.6,80.14,16.15023474,17.7957078,14.62727585,16.99554235,29.527897,103.6514423,201.8009479,381.2666667,18.05774278,17.32382483,26.67919799,33.05780347,29.54206216,0.589,"4,086,583"
Tekirdağ,500,2262,1243,1564,11162,53800,52490,56182,646,2555,2377,2755,246,165,142,111,50.53,99.47,95.6,82.14,17.27863777,21.05675147,22.08245688,20.39274047,45.37398374,326.0606061,369.6478873,506.1441441,22.324,23.78426172,42.22847949,35.92199488,18.60110923,0.734,"3,229,785"
Tokat,415,2644,1466,1291,7733,36987,40118,42937,485,2399,2691,2357,317,391,198,103,46.14,95.93,91.8,77.76,15.9443299,15.41767403,14.90821256,18.21680102,24.39432177,94.59590793,202.6161616,416.8640777,18.63373494,13.98903177,27.36562074,33.25871418,28.31872432,0.679,"3,618,425"
Trabzon,589,2883,1549,1897,11328,44803,46687,57731,690,2895,3601,3677,307,257,236,143,51.59,99.71,96.95,91.4,16.4173913,15.47599309,12.96500972,15.70057112,36.8990228,174.3307393,197.8262712,403.7132867,19.23259762,15.5404093,30.14009038,30.43278861,35.55383092,0.699,"5,708,132"
Tunceli,65,260,156,238,1187,3337,3590,4539,85,293,372,393,25,33,26,28,63.13,97.84,93.57,81.54,13.96470588,11.3890785,9.650537634,11.54961832,47.48,101.1212121,138.0769231,162.1071429,18.26153846,12.83461538,23.01282051,19.07142857,54.03264048,0.645,"683,675"
Şanlıurfa,1463,7918,1463,2770,38615,235116,208375,127205,1646,8249,6211,4336,889,1357,491,187,28.95,99.72,89.47,53.06,23.45990279,28.50236392,33.54934793,29.33694649,43.43644544,173.2616065,424.389002,680.2406417,26.39439508,29.69386209,142.4299385,45.92238267,13.25635185,0.589,"8,077,241"
Uşak,234,1170,792,708,4323,20120,20471,22485,284,1379,1416,1312,136,158,98,53,58.68,99.52,95.6,83.04,15.22183099,14.59028281,14.4569209,17.13795732,31.78676471,127.3417722,208.8877551,424.245283,18.47435897,17.1965812,25.84722222,31.75847458,27.86637784,0.705,"1,878,166"
