Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1701,6187,4311,4986,40800,148797,163917,166845,2199,8705,9588,9212,670,522,357,261,,90.93,95.97,46,18.55388813,17.09327972,17.09605757,18.11170213,60.89552239,285.0517241,459.1512605,639.2528736,23.98589065,24.04994343,38.02296451,33.46269555,30.37007912,0.795,"15,803,344"
Adıyaman,539,2027,1873,1589,11684,48257,52007,54902,675,2921,3440,3143,294,469,204,98,,90.3,96.7,36.56,17.30962963,16.52071208,15.11831395,17.46802418,39.7414966,102.8933902,254.9362745,560.2244898,21.67717996,23.80710409,27.76668446,34.55129012,33.3280911,0.746,"5,560,792"
Afyonkarahisar,752,3080,2251,1949,11927,40760,47644,48939,752,3000,3387,3042,391,376,285,136,,90.56,95.82,38.52,15.86037234,13.58666667,14.06672572,16.0877712,30.50383632,108.4042553,167.1719298,359.8455882,15.86037234,13.23376623,21.16570413,25.1097999,40.06839954,0.818,"5,981,010"
Ağrı,587,3352,1652,1138,9610,53114,59877,38069,452,2710,2516,1588,368,613,226,67,,93.22,93.04,27.96,21.26106195,19.59926199,23.79848967,23.97292191,26.11413043,86.64600326,264.9424779,568.1940299,16.3713799,15.84546539,36.24515738,33.45254833,28.67446319,0.785,"4,607,126"
Amasya,357,1083,1032,996,5939,16239,19055,24109,400,1243,1621,1715,162,117,100,68,,90.82,97.6,45.41,14.8475,13.06436042,11.75508945,14.05772595,36.66049383,138.7948718,190.55,354.5441176,16.63585434,14.99445983,18.46414729,24.20582329,50.35621805,0.803,"3,290,376"
Ankara,5449,12869,10969,13510,81162,295811,327854,381368,5903,18348,20720,26429,1549,806,740,741,,90.86,96.64,48.35,13.74928003,16.12224766,15.8230695,14.42990654,52.39638476,367.0111663,443.0459459,514.6666667,14.89484309,22.98632372,29.88914213,28.22857143,90.65649354,0.839,"98,470,630"
Antalya,2816,7857,4530,5598,48160,132246,150324,168895,3024,8329,9402,9900,879,547,566,328,,89.17,95.38,50.4,15.92592593,15.87777644,15.98851308,17.06010101,54.78953356,241.7659963,265.590106,514.9237805,17.10227273,16.83161512,33.18410596,30.17059664,29.53349012,0.795,"14,755,670"
Artvin,132,682,319,542,2488,7034,8743,11064,135,550,662,850,70,57,60,46,,90.97,98.24,52.18,18.42962963,12.78909091,13.20694864,13.01647059,35.54285714,123.4035088,145.7166667,240.5217391,18.84848485,10.31378299,27.40752351,20.41328413,58.23052269,0.808,"1,707,843"
Aydın,935,3553,2574,2615,17164,52565,60508,67622,1151,3951,4478,4700,423,347,243,157,,91.05,96.44,49.39,14.91225022,13.30422678,13.51228227,14.38765957,40.57683215,151.4841499,249.0041152,430.7133758,18.35721925,14.79453983,23.50738151,25.85927342,39.78261287,0.818,"7,871,348"
Balıkesir,1009,3327,2634,2567,17355,51726,62490,74279,1128,3946,4618,5241,452,353,253,176,,90.71,96.77,44.73,15.3856383,13.10846427,13.53183196,14.17267697,38.3960177,146.5325779,246.9960474,422.0397727,17.20019822,15.54733995,23.72437358,28.93611219,40.2282633,0.797,"8,280,988"
Bilecik,223,783,468,587,3425,9985,12038,14415,216,624,802,931,66,59,56,47,,89.58,96.07,38.98,15.85648148,16.00160256,15.00997506,15.48335124,51.89393939,169.2372881,214.9642857,306.7021277,15.35874439,12.75223499,25.72222222,24.55706985,48.34982314,0.803,"1,927,369"
Bingöl,242,1026,997,726,4716,18565,22243,22194,237,1141,1315,1194,135,227,89,48,,90.86,95.08,37.96,19.89873418,16.27081507,16.9148289,18.5879397,34.93333333,81.78414097,249.9213483,462.375,19.48760331,18.09454191,22.30992979,30.57024793,39.51002688,0.785,"2,675,540"
Bitlis,402,2282,1089,810,7298,30595,35058,28708,323,1825,1867,1219,264,446,174,57,,93.22,94.22,31.85,22.59442724,16.76438356,18.77771826,23.55045119,27.64393939,68.59865471,201.4827586,503.6491228,18.15422886,13.40709904,32.19283747,35.44197531,34.14231893,0.746,"3,470,874"
Bolu,267,1125,587,806,4257,13711,15631,20255,303,966,1216,1448,89,75,76,52,,90.52,95.5,45.1,14.04950495,14.19358178,12.85444079,13.98825967,47.83146067,182.8133333,205.6710526,389.5192308,15.94382022,12.18755556,26.6286201,25.13027295,57.77171612,0.797,"3,111,238"
