Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1997,6683,5074,5607,44379,165865,174472,158814,2646,8749,10060,9577,694,510,383,310,65.39,93.91,95.89,83.57,16.77210884,18.95816665,17.34314115,16.58285476,63.94668588,325.2254902,455.54047,512.3032258,22.22283425,24.81894359,34.38549468,28.32423756,21.22360679,0.819,"11,535,667"
Adıyaman,636,2334,2257,1932,13560,48952,52676,50751,832,2986,4105,3544,325,419,250,115,71.51,92.96,96.35,84.42,16.29807692,16.39383791,12.83215591,14.32025959,41.72307692,116.8305489,210.704,441.3130435,21.32075472,20.97343616,23.3389455,26.26863354,18.39102321,0.777,"3,051,788"
Afyonkarahisar,761,3165,2348,2173,12924,42032,46309,46188,848,3018,3495,3266,397,365,290,143,75.2,93.33,95.82,82.91,15.24056604,13.92710404,13.25007153,14.14206981,32.55415617,115.1561644,159.6862069,322.993007,16.98291721,13.28025276,19.72274276,21.25540727,22.92434878,0.819,"3,380,264"
Ağrı,604,3496,1748,1375,11930,49626,54653,37998,617,3149,3798,2087,434,584,267,78,59.27,91.5,94.31,59.59,19.33549433,15.75928866,14.38994207,18.20699569,27.48847926,84.9760274,204.6928839,487.1538462,19.75165563,14.19508009,31.26601831,27.63490909,20.84908597,0.8,"3,215,075"
Amasya,405,1188,1084,1154,6735,16461,18559,21394,475,1220,1640,1776,171,120,103,73,88.09,94.4,97.89,95.15,14.17894737,13.49262295,11.31646341,12.04617117,39.38596491,137.175,180.184466,293.0684932,16.62962963,13.85606061,17.12084871,18.5389948,34.52843275,0.82,"2,180,436"
Ankara,6550,14455,12890,16204,100858,316531,346345,371499,7077,19410,23732,29403,1772,869,871,946,68.96,94.73,96.87,93.58,14.25151901,16.30762494,14.59400809,12.63473115,56.91760722,364.2474108,397.6406429,392.705074,15.39816794,21.89768246,26.86927851,22.9263762,70.61510633,0.816,"80,164,599"
Antalya,3336,8466,5208,6840,55460,146790,158195,167311,4015,8972,11037,11562,1001,560,622,395,83.89,93.85,95.33,89.77,13.8132005,16.36090058,14.33315212,14.4707663,55.4045954,262.125,254.3327974,423.5721519,16.62470024,17.33876683,30.37538402,24.46067251,20.69554302,0.819,"10,922,197"
Artvin,155,611,364,532,2964,7066,7994,9467,203,528,735,829,73,49,56,41,83.8,93.31,97.42,94.63,14.60098522,13.38257576,10.87619048,11.41978287,40.60273973,144.2040816,142.75,230.902439,19.12258065,11.56464812,21.96153846,17.79511278,60.42824925,0.824,"1,661,233"
Aydın,1102,3649,2487,2925,20187,55337,61073,62249,1387,4093,4758,5192,468,341,247,182,79.01,94.35,96.46,87.84,14.55443403,13.51991204,12.8358554,11.98940678,43.13461538,162.2785924,247.2591093,342.0274725,18.3185118,15.16497671,24.55689586,21.2817094,25.61241866,0.84,"5,092,927"
Balıkesir,1272,3568,2680,2954,21451,54822,60795,66137,1439,3910,5089,5587,499,330,263,190,84.13,94.53,96.83,89.35,14.90687978,14.02097187,11.94635488,11.83765885,42.98797595,166.1272727,231.1596958,348.0894737,16.86399371,15.36491031,22.68470149,22.38896412,32.83124923,0.858,"6,671,474"
