Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Erzurum,736,3128,2472,2335,13034,51262,57426,58486,781,3241,4419,3654,417,654,333,135,,91.86,93.47,40.79,16.68886044,15.81672323,12.99524779,16.0060208,31.25659472,78.382263,172.4504505,433.2296296,17.70923913,16.38810742,23.23058252,25.04753747,64.84516226,0.793,"11,685,617"
Eskişehir,855,2321,1449,2082,15631,41274,45325,51602,1118,3001,3441,4309,260,154,138,120,,90.99,93.32,58.92,13.98121646,13.75341553,13.17204301,11.97540032,60.11923077,268.012987,328.442029,430.0166667,18.28187135,17.78285222,31.28019324,24.78482229,75.4380558,0.816,"11,604,787"
Gaziantep,1718,6255,5438,5225,46548,210535,202583,162408,2417,9313,10452,8986,602,531,368,275,,93.45,93.98,45.84,19.25858502,22.60657146,19.3822235,18.07344759,77.32225914,396.4877589,550.4972826,590.5745455,27.09429569,33.65867306,37.25321809,31.08287081,30.33636191,0.762,"18,871,462"
Giresun,408,1333,988,1394,7450,18539,21553,26454,486,1216,1817,2191,188,115,137,98,,87.81,90.54,41.57,15.32921811,15.24588816,11.86186021,12.07393884,39.62765957,161.2086957,157.3211679,269.9387755,18.25980392,13.90772693,21.81477733,18.97704448,63.70645711,0.819,"4,714,023"
Gümüşhane,121,321,532,388,2112,5440,6299,7321,137,416,636,566,56,57,66,33,,67.77,70.36,34.56,15.41605839,13.07692308,9.90408805,12.93462898,37.71428571,95.43859649,95.43939394,221.8484848,17.45454545,16.9470405,11.84022556,18.8685567,88.7460325,0.819,"1,878,931"
Hakkari,212,1013,538,723,6570,21343,25937,24937,321,1237,1617,1206,156,212,108,48,,91.8,88.5,29.53,20.46728972,17.25383994,16.0401979,20.6774461,42.11538462,100.6745283,240.1574074,519.5208333,30.99056604,21.06910168,48.21003717,34.49100968,37.12118751,0.762,"2,924,667"
Hatay,1707,6572,3973,4278,42094,140602,140552,124280,2245,7726,8485,7572,728,576,453,240,,91.9,93.01,46.01,18.75011136,18.19855035,16.56476134,16.4131009,57.82142857,244.1006944,310.2693157,517.8333333,24.65963679,21.39409617,35.37679336,29.05095839,34.0067236,0.813,"15,218,961"
Isparta,485,1247,1633,1286,8320,21747,24228,27983,565,1585,2063,2235,204,165,140,89,,90.29,91.57,54.68,14.72566372,13.72050473,11.74406205,12.52035794,40.78431373,131.8,173.0571429,314.4157303,17.15463918,17.43945469,14.83649724,21.75972006,82.45074017,0.836,"6,783,882"
Mersin,1764,6490,3354,5055,42588,126808,131618,128576,2393,7977,9042,9220,653,468,415,294,,91.92,93.54,48.73,17.79690765,15.89670302,14.55629286,13.94533623,65.21898928,270.957265,317.1518072,437.3333333,24.14285714,19.53898305,39.24209899,25.43541048,38.31885752,0.813,"16,461,398"
İstanbul,14464,34690,26449,34536,238005,915210,973589,1056901,14478,42525,45416,58959,3937,1583,1730,1802,,93.12,94.62,44.32,16.43907998,21.52169312,21.43713669,17.92603335,60.45339091,578.149084,562.7682081,586.5155383,16.4549917,26.38253099,36.81004953,30.60287816,27.51653372,0.867,"87,604,526"
İzmir,4365,10559,7903,9624,74313,224810,242500,258972,4999,14681,16554,19156,1438,799,669,562,,91.46,93.26,48.22,14.86557311,15.31298958,14.64902743,13.51910629,51.67802503,281.3642053,362.4813154,460.8042705,17.02474227,21.29084194,30.68455017,26.90897756,42.83425577,0.836,"34,292,891"
Kars,367,1606,1083,803,5564,21204,23561,18686,344,1459,1767,1169,263,350,171,50,,92.63,94.82,38.64,16.1744186,14.53324195,13.33389926,15.98460222,21.15589354,60.58285714,137.7836257,373.72,15.16076294,13.20298879,21.75530933,23.27023661,56.21070782,0.793,"3,879,382"
Kastamonu,278,997,849,920,5099,16218,19265,21976,336,1097,1569,1612,126,116,108,81,,91.83,94.89,39.29,15.17559524,14.78395624,12.27852135,13.63275434,40.46825397,139.8103448,178.3796296,271.308642,18.34172662,16.2668004,22.69140165,23.88695652,66.95450622,0.816,"4,188,540"
Kayseri,1334,5173,2707,3920,25279,96144,104830,107198,1682,5237,6356,6538,447,393,347,222,,91.95,94.26,47.01,15.02913199,18.35860225,16.49307741,16.39614561,56.55257271,244.6412214,302.1037464,482.8738739,18.94977511,18.58573362,38.72552641,27.34642857,42.49656771,0.816,"14,170,523"
Kırklareli,304,979,770,836,5910,14475,16058,17643,293,917,1109,1318,128,83,77,60,,91.59,92.45,52.01,20.17064846,15.78516903,14.47971145,13.3861912,46.171875,174.3975904,208.5454545,294.05,19.44078947,14.7854954,20.85454545,21.10406699,53.90163813,0.836,"2,915,324"
Kırşehir,212,846,632,859,4009,11987,13337,15027,313,1037,1213,1373,82,73,69,60,,88.58,91.27,51.13,12.80830671,11.55930569,10.99505359,10.94464676,48.8902439,164.2054795,193.2898551,250.45,18.91037736,14.16903073,21.1028481,17.49359721,82.473422,0.816,"3,658,521"
Kocaeli,2462,6133,4359,4839,49725,120235,128081,141125,2728,6840,7948,8737,767,340,348,260,,92.44,94.46,46.28,18.2276393,17.57821637,16.11487167,16.15256953,64.83050847,353.6323529,368.0488506,542.7884615,20.19699431,19.60459808,29.38311539,29.16408349,34.3584476,0.836,"15,089,062"
Konya,2103,7478,5957,5928,39381,147326,159748,161674,2578,8833,10836,9868,961,729,594,366,,90.53,92.74,40.57,15.27579519,16.67904449,14.74234035,16.38366437,40.97918835,202.0932785,268.9360269,441.7322404,18.72610556,19.70125702,26.81685412,27.27294197,42.54767982,0.85,"21,619,710"
Kütahya,617,1963,1673,1595,9790,26807,30461,35603,619,1969,2426,2443,264,212,173,108,,91.54,93.48,47.08,15.81583199,13.61452514,12.55605936,14.57347524,37.08333333,126.4481132,176.0751445,329.6574074,15.86709887,13.65613856,18.20741184,22.32163009,55.23849368,0.836,"5,670,839"
Malatya,782,2622,2144,2634,15312,52259,57823,63310,884,3393,4606,4793,323,306,245,158,,92.08,94.87,51.51,17.32126697,15.40200413,12.55384281,13.20884623,47.40557276,170.7810458,236.0122449,400.6962025,19.58056266,19.93096873,26.96968284,24.03568717,54.14477171,0.762,"10,217,335"
Manisa,1209,4706,3351,3307,24190,76765,85298,85353,1392,4950,6157,6044,530,472,330,207,,91.13,93.81,41.99,17.37787356,15.50808081,13.85382491,14.12193911,45.64150943,162.6377119,258.4787879,412.3333333,20.0082713,16.3121547,25.4544912,25.8097974,43.75303933,0.836,"11,883,588"
Kahramanmaraş,966,3735,3513,2981,22134,95445,100972,92352,1110,4584,5151,5027,460,473,323,180,,90.74,92.8,37.11,19.94054054,20.82133508,19.6024073,18.37119554,48.1173913,201.7864693,312.6068111,513.0666667,22.91304348,25.55421687,28.74238543,30.98020798,34.94186611,0.762,"10,863,531"
Mardin,771,3308,2166,2304,18070,79126,82470,69001,1005,4167,4992,3788,522,602,345,143,,93.9,94.08,37.83,17.9800995,18.9887209,16.52043269,18.2156811,34.61685824,131.4385382,239.0434783,482.5244755,23.43709468,23.91958888,38.07479224,29.94835069,31.41635601,0.762,"7,812,211"
Muğla,996,3111,2219,2385,16832,47425,51390,54920,1227,3524,4358,4443,406,325,249,162,,90.49,92.01,54.93,13.71801141,13.4577185,11.79210647,12.36101733,41.45812808,145.9230769,206.3855422,339.0123457,16.89959839,15.24429444,23.15908067,23.02725367,48.82607421,0.836,"8,328,117"
Muş,456,2323,1467,1035,9119,38401,41234,28486,470,2357,2726,1657,316,417,211,59,,93.21,90.08,23.23,19.40212766,16.29232075,15.12619222,17.1913096,28.85759494,92.08872902,195.4218009,482.8135593,19.99780702,16.53077916,28.10770279,27.52270531,39.2391334,0.762,"4,600,396"
Nevşehir,414,1158,1191,932,6641,17059,18977,19134,402,1200,1541,1401,171,130,108,63,,91.07,93.61,45.91,16.5199005,14.21583333,12.31473069,13.65738758,38.83625731,131.2230769,175.712963,303.7142857,16.0410628,14.73143351,15.93366919,20.53004292,55.19208555,0.816,"3,411,478"
Niğde,328,1225,1510,1033,6383,22315,25338,24103,376,1472,1808,1641,168,165,135,62,,89.88,92.97,42.12,16.97606383,15.15964674,14.01438053,14.68799512,37.99404762,135.2424242,187.6888889,388.7580645,19.46036585,18.21632653,16.78013245,23.33301065,56.81278235,0.836,"4,439,294"
Ordu,622,2175,1827,2118,12312,37130,42529,47449,781,2342,3171,3778,269,201,210,127,,89.33,92.29,42.79,15.76440461,15.85397096,13.41185746,12.55929063,45.76951673,184.7263682,202.5190476,373.6141732,19.79421222,17.07126437,23.27805145,22.40273843,50.91803185,0.819,"7,098,992"
Rize,312,1313,845,1109,5945,15995,19018,25242,392,1112,1530,1899,136,91,100,78,,89.12,93.81,44.07,15.16581633,14.38399281,12.43006536,13.29225908,43.71323529,175.7692308,190.18,323.6153846,19.05448718,12.18202589,22.50650888,22.76104599,68.78838369,0.819,"4,553,791"
Sakarya,1178,2557,3113,2594,17941,56880,63414,70398,1225,3440,4001,4522,445,275,267,144,,91.83,94.2,43.53,14.64571429,16.53488372,15.84953762,15.56789031,40.31685393,206.8363636,237.505618,488.875,15.23005093,22.24481815,20.3707035,27.1387818,43.21958655,0.836,"9,017,032"
Samsun,1336,4197,3629,3543,23370,70879,80815,93645,1511,4881,6408,6502,561,434,337,202,,91.21,94.75,49.48,15.46657842,14.52140955,12.61157928,14.40249154,41.65775401,163.3156682,239.8071217,463.5891089,17.49251497,16.88801525,22.26922017,26.43099069,52.49167315,0.819,"14,104,985"
Siirt,378,1836,979,1014,8596,30350,34096,28782,462,1839,2109,1518,235,294,138,61,,93.36,90.89,31.17,18.60606061,16.50353453,16.16690375,18.96047431,36.5787234,103.2312925,247.0724638,471.8360656,22.74074074,16.53050109,34.82737487,28.38461538,39.26518306,0.762,"3,998,138"
Sinop,183,694,487,593,3286,9220,10418,12126,224,613,787,984,82,57,50,45,,89.41,90.33,40.97,14.66964286,15.04078303,13.23761118,12.32317073,40.07317073,161.754386,208.36,269.4666667,17.95628415,13.28530259,21.39219713,20.44856661,66.67763195,0.816,"2,337,051"
Sivas,524,2391,1703,1799,11259,34341,40130,45668,621,2278,3221,3204,261,293,208,120,,91.02,93.35,44.24,18.13043478,15.07506585,12.45886371,14.25343321,43.13793103,117.2047782,192.9326923,380.5666667,21.48664122,14.36260979,23.5642983,25.38521401,66.19666205,0.793,"8,698,109"
Tekirdağ,926,2679,1679,2456,18792,59006,62842,63750,1075,2993,3230,4073,316,169,169,144,,91.91,92.97,45.47,17.48093023,19.71466756,19.45572755,15.65185367,59.46835443,349.147929,371.8461538,442.7083333,20.2937365,22.02538261,37.42823109,25.95684039,35.07138314,0.836,"7,168,240"
Tokat,559,2122,1648,1585,10602,29653,35171,41453,610,2084,2665,2912,327,296,194,114,,85.44,88.62,38.65,17.38032787,14.22888676,13.19737336,14.23523352,32.42201835,100.1790541,181.2938144,363.622807,18.96601073,13.97408106,21.34162621,26.1533123,56.16179981,0.816,"6,564,135"
Trabzon,709,2718,1940,2333,14110,41407,45581,53715,891,2815,4118,4261,303,205,231,145,,90.8,93.67,48.46,15.83613917,14.70941385,11.06872268,12.60619573,46.56765677,201.9853659,197.3203463,370.4482759,19.90126939,15.2343635,23.49536082,23.02400343,64.17475923,0.819,"9,935,087"
Tunceli,79,253,159,265,1475,2861,2926,3465,87,232,296,351,29,28,25,24,,88.54,90.44,52.91,16.95402299,12.33189655,9.885135135,9.871794872,50.86206897,102.1785714,117.04,144.375,18.67088608,11.3083004,18.40251572,13.0754717,105.7731891,0.769,"1,134,629"
Şanlıurfa,1865,8930,5652,5718,60511,246673,226419,151304,2388,10668,10970,8330,1089,1260,689,276,,94.26,91.93,33.84,25.33961474,23.12270341,20.63983592,18.1637455,55.56565657,195.7722222,328.6197388,548.2028986,32.44557641,27.62295633,40.05997877,26.46100035,27.82012302,0.762,"19,054,197"
Uşak,370,1144,910,926,6364,18381,20376,22538,420,1452,1715,1645,161,120,94,60,,90.31,93.31,53.26,15.15238095,12.65909091,11.88104956,13.70091185,39.52795031,153.175,216.7659574,375.6333333,17.2,16.06730769,22.39120879,24.33909287,54.07076664,0.836,"3,658,374"
Van,1140,5547,2567,2918,28417,103854,113080,90436,1357,6078,6761,4905,737,878,402,149,,93.42,92.85,30.97,20.94104643,17.08687068,16.72533649,18.43751274,38.55766621,118.284738,281.2935323,606.9530201,24.92719298,18.72255273,44.05142189,30.99246059,38.31572991,0.762,"12,865,924"
Yozgat,360,2187,923,1430,5851,22417,26384,28291,364,1603,2042,2115,190,184,205,107,,87.37,88.64,42.31,16.07417582,13.98440424,12.92066601,13.37635934,30.79473684,121.8315217,128.702439,264.4018692,16.25277778,10.25011431,28.58504875,19.78391608,58.15199595,0.816,"4,823,301"
Zonguldak,476,1675,1653,1546,8003,28952,33226,37422,517,1982,2153,2506,242,212,132,93,,91.85,94.39,48.68,15.47969052,14.6074672,15.43241988,14.93296089,33.07024793,136.5660377,251.7121212,402.3870968,16.81302521,17.28477612,20.10042347,24.20569211,54.84424226,0.809,"5,901,405"
Aksaray,463,1649,1445,1125,7517,27215,29258,28974,518,1708,2046,1808,220,198,138,76,,90.08,91.85,40.96,14.51158301,15.93384075,14.30009775,16.02544248,34.16818182,137.4494949,212.0144928,381.2368421,16.23542117,16.50394178,20.24775087,25.75466667,48.28863861,0.816,"4,489,105"
Bayburt,88,225,367,210,1257,4184,4747,5752,79,281,443,363,37,45,59,17,,87.69,91.48,40.26,15.91139241,14.88967972,10.71557562,15.84573003,33.97297297,92.97777778,80.45762712,338.3529412,14.28409091,18.59555556,12.9346049,27.39047619,101.9692597,0.819,"1,625,390"
Karaman,291,1131,695,866,5050,14328,16396,18555,311,961,973,1181,117,90,79,50,,89.81,92.66,52.13,16.23794212,14.9094693,16.85097636,15.71126164,43.16239316,159.2,207.5443038,371.1,17.35395189,12.66843501,23.59136691,21.426097,53.52747152,0.85,"2,908,094"
Kırıkkale,268,974,790,949,4396,13958,16182,19144,277,1058,1213,1576,111,78,77,64,,90.6,92.59,42.58,15.8700361,13.19281664,13.34047815,12.14720812,39.6036036,178.9487179,210.1558442,299.125,16.40298507,14.33059548,20.4835443,20.17281349,75.09042474,0.816,"4,030,854"
Batman,646,2924,1495,1889,14930,54485,61126,55727,813,2950,3614,2938,367,391,193,93,,93.12,94.24,43.95,18.36408364,18.46949153,16.91366906,18.96766508,40.68119891,139.3478261,316.7150259,599.2150538,23.11145511,18.63372093,40.88695652,29.50079407,34.06270535,0.762,"6,344,792"
Şırnak,457,1834,1925,1469,13485,51577,58318,44900,636,2719,3525,2168,296,294,254,84,,93.12,92.9,31.83,21.20283019,18.96910629,16.54411348,20.7103321,45.55743243,175.4319728,229.5984252,534.5238095,29.50765864,28.12268266,30.29506494,30.56501021,26.09638697,0.762,"4,391,500"
Bartın,185,632,635,505,2733,8711,9885,12104,201,559,770,893,94,65,47,35,,91.22,94.82,39.33,13.59701493,15.58318426,12.83766234,13.55431131,29.07446809,134.0153846,210.3191489,345.8285714,14.77297297,13.78322785,15.56692913,23.96831683,72.39942572,0.809,"2,420,530"
Ardahan,91,375,379,388,1557,5448,6647,6364,102,408,563,480,69,76,54,26,,92.9,96.91,34.64,15.26470588,13.35294118,11.80639432,13.25833333,22.56521739,71.68421053,123.0925926,244.7692308,17.10989011,14.528,17.53825858,16.40206186,78.43665068,0.793,"1,569,988"
Iğdır,232,941,642,604,4448,15867,16777,15119,251,1019,1245,989,127,138,94,35,,93.94,94.93,44.81,17.72111554,15.57114818,13.47550201,15.28715875,35.02362205,114.9782609,178.4787234,431.9714286,19.17241379,16.8618491,26.13239875,25.03145695,44.42780257,0.793,"2,319,620"
Yalova,281,841,604,629,4938,13851,14786,15851,299,838,1051,1226,102,62,68,43,,91.02,92,50.58,16.51505017,16.52863962,14.06850618,12.92903752,48.41176471,223.4032258,217.4411765,368.627907,17.57295374,16.46967895,24.48013245,25.20031797,44.18573221,0.836,"2,183,924"
Karabük,182,609,596,736,3644,10679,12391,14875,260,729,1011,1230,98,62,75,46,,90.99,93.58,53.13,14.01538462,14.64883402,12.256182,12.09349593,37.18367347,172.2419355,165.2133333,323.3695652,20.02197802,17.53530378,20.79026846,20.21059783,90.22957994,0.809,"3,752,558"
Kilis,178,527,626,413,4948,17588,16414,12470,253,831,907,698,85,90,44,23,,91.14,91.13,36.31,19.55731225,21.16486161,18.09702315,17.86532951,58.21176471,195.4222222,373.0454545,542.173913,27.79775281,33.37381404,26.22044728,30.1937046,33.73815636,0.762,"1,734,816"
Osmaniye,463,1859,1433,1546,11542,43013,44761,42237,658,2343,2703,2660,222,174,128,94,,90.05,90.19,45.99,17.54103343,18.35808792,16.55974843,15.87857143,51.99099099,247.2011494,349.6953125,449.3297872,24.9287257,23.13770845,31.23586881,27.32018111,37.25030907,0.813,"5,272,893"
Düzce,543,1565,866,1005,8225,20476,23681,24937,501,1308,1651,1639,193,111,108,59,,91.34,92.98,39.96,16.41716567,15.65443425,14.34342823,15.2147651,42.61658031,184.4684685,219.2685185,422.6610169,15.14732965,13.08370607,27.34526559,24.81293532,56.6488056,0.809,"4,380,029"
