Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1915,6474,4793,5713,43827,163601,167762,160037,2660,8444,9698,9990,693,502,377,294,,92.03,92.79,49.71,16.47631579,19.37482236,17.29861827,16.01971972,63.24242424,325.8984064,444.9920424,544.3435374,22.88616188,25.27046648,35.00146046,28.01277788,37.22373684,0.813,"19,923,149"
Adıyaman,561,2190,2157,1839,13454,49158,52500,51368,747,2953,3859,3477,324,429,248,109,,91.7,93.89,39.54,18.0107095,16.64679986,13.60456077,14.77365545,41.52469136,114.5874126,211.6935484,471.266055,23.98217469,22.44657534,24.33936022,27.93257205,46.61113047,0.762,"7,759,821"
Afyonkarahisar,784,3141,2304,2186,12911,42059,46881,46249,835,2834,3370,3215,413,364,291,145,,90.65,92.71,39.41,15.46227545,14.84086097,13.91127596,14.38538103,31.26150121,115.5467033,161.1030928,318.9586207,16.46811224,13.39032155,20.34765625,21.15690759,51.49730587,0.836,"7,626,751"
Ağrı,581,3378,1644,1332,12298,52298,54828,38025,598,3074,3535,2038,426,588,261,75,,94.12,93.09,30.83,20.56521739,17.01301236,15.51004243,18.65799804,28.8685446,88.94217687,210.0689655,507,21.16695353,15.48194198,33.35036496,28.5472973,34.83091668,0.793,"5,484,093"
Amasya,377,1064,1096,1152,6494,16670,18561,22162,462,1210,1595,1801,173,119,105,76,,91.44,93.91,47.98,14.05627706,13.7768595,11.6369906,12.3053859,37.53757225,140.0840336,176.7714286,291.6052632,17.22546419,15.66729323,16.93521898,19.23784722,59.68331585,0.816,"3,812,988"
Ankara,5991,13365,11710,15699,91753,312444,338066,369226,6611,19403,23056,29499,1682,833,808,895,,91.86,94.05,55.24,13.8788383,16.10287069,14.66282096,12.51655988,54.54994055,375.0828331,418.3985149,412.5430168,15.31513938,23.37777778,28.86985482,23.51907765,112.2606351,0.85,"124,776,461"
Antalya,3169,8200,4878,6645,54124,141951,153550,165852,3743,8625,10548,11264,970,539,607,374,,89.97,91.72,54.14,14.46005878,16.45808696,14.55726204,14.7240767,55.79793814,263.3599258,252.9654036,443.4545455,17.0792048,17.31109756,31.47806478,24.95891648,36.98101758,0.813,"19,062,864"
Artvin,159,657,366,527,2970,6972,8209,9857,190,545,729,863,76,52,60,45,,89.35,94.35,52.16,15.63157895,12.79266055,11.260631,11.42178447,39.07894737,134.0769231,136.8166667,219.0444444,18.67924528,10.61187215,22.42896175,18.70398482,74.07115824,0.819,"2,074,585"
Aydın,1008,3549,2437,2880,18897,54826,60926,63002,1333,4008,4596,5116,448,338,244,176,,91.03,93.12,51.78,14.17629407,13.67914172,13.25630983,12.31469898,42.18080357,162.2071006,249.6967213,357.9659091,18.74702381,15.44829529,25.00041034,21.87569444,49.6752407,0.836,"9,818,361"
Balıkesir,1188,3417,2563,2814,21075,54413,61268,67954,1377,3990,5022,5432,499,333,256,178,,91.2,93.12,47.81,15.30501089,13.63734336,12.19992035,12.50994109,42.23446894,163.4024024,239.328125,381.7640449,17.73989899,15.92420252,23.90479906,24.148543,51.04645596,0.809,"10,449,720"
Bilecik,256,742,453,595,4240,10691,11765,13345,277,574,787,906,74,56,54,48,,90.14,92.5,40.47,15.30685921,18.62543554,14.94917408,14.72958057,57.2972973,190.9107143,217.8703704,278.0208333,16.5625,14.4083558,25.97130243,22.42857143,60.66374466,0.816,"2,429,037"
Bingöl,249,999,924,773,5250,19070,21440,20317,283,1245,1572,1342,156,201,103,51,,91.98,94.19,41.79,18.55123675,15.31726908,13.63867684,15.13934426,33.65384615,94.87562189,208.1553398,398.372549,21.08433735,19.08908909,23.2034632,26.28331177,52.64007143,0.793,"3,478,298"
Bitlis,462,2265,1268,856,8316,30173,33248,27253,449,2028,2417,1430,295,435,195,63,,93.69,93.62,34.3,18.52115813,14.87820513,13.75589574,19.05804196,28.18983051,69.36321839,170.5025641,432.5873016,18,13.3214128,26.22082019,31.83761682,42.16684514,0.762,"4,174,096"
Bolu,292,1079,648,851,4833,14698,16128,19920,350,915,1270,1557,93,70,74,60,,90.78,92.72,47.06,13.80857143,16.06338798,12.6992126,12.7938343,51.96774194,209.9714286,217.9459459,332,16.55136986,13.6218721,24.88888889,23.40775558,70.9507008,0.809,"3,943,369"
Burdur,275,900,634,703,5343,12636,13802,15849,316,980,1247,1249,124,90,88,56,,89.87,89.32,51.22,16.90822785,12.89387755,11.06816359,12.68935148,43.08870968,140.4,156.8409091,283.0178571,19.42909091,14.04,21.76971609,22.54480797,73.23942893,0.836,"3,488,394"
Bursa,3028,8071,5218,7996,54620,185697,192305,193577,3092,9643,10929,14167,935,493,516,415,,91.44,93.23,43.9,17.66494179,19.25718138,17.59584591,13.66393732,58.4171123,376.6673428,372.6841085,466.4506024,18.03830911,23.00792962,36.85415868,24.20922961,34.14889037,0.836,"21,384,001"
Çanakkale,495,1377,1060,1303,9114,22820,24583,26341,651,1508,1936,2286,189,124,107,95,,90.17,91.73,53.18,14,15.13262599,12.69783058,11.52274716,48.22222222,184.0322581,229.7476636,277.2736842,18.41212121,16.57225853,23.19150943,20.21565618,63.39407179,0.836,"5,252,706"
Çankırı,152,571,487,527,2829,8669,9480,10332,179,504,627,767,60,57,55,39,,76.31,77.09,33.11,15.80446927,17.20039683,15.11961722,13.47066493,47.15,152.0877193,172.3636364,264.9230769,18.61184211,15.1821366,19.4661191,19.60531309,74.37464069,0.816,"2,328,670"
Çorum,449,1967,1137,1710,8862,27793,31095,35669,589,1787,2357,2677,193,206,155,104,,89.43,92.27,50.5,15.04584041,15.55288193,13.19261773,13.32424356,45.91709845,134.9174757,200.6129032,342.9711538,19.73719376,14.12963904,27.34828496,20.85906433,48.96088726,0.816,"5,063,486"
Denizli,1224,3413,2738,2992,20850,54115,60971,63833,1452,3891,4936,5365,439,283,256,172,,89.69,91.83,49.93,14.35950413,13.9077358,12.35230956,11.89804287,47.49430524,191.2190813,238.1679688,371.122093,17.03431373,15.8555523,22.26844412,21.33455882,50.72498736,0.836,"10,133,280"
Diyarbakır,1712,6420,3742,4504,55385,153203,160958,136178,2055,8121,9353,7365,981,870,511,245,,94.17,93.96,37.41,26.9513382,18.86504125,17.20923768,18.48988459,56.45769623,176.0954023,314.9863014,555.8285714,32.3510514,23.86339564,43.01389631,30.23490231,31.88864282,0.762,"16,126,852"
Edirne,401,1267,808,1005,6632,16304,18014,18699,389,1276,1460,1768,149,108,91,70,,90.97,91.94,51.18,17.04884319,12.77742947,12.33835616,10.57635747,44.51006711,150.962963,197.956044,267.1285714,16.53865337,12.86819258,22.29455446,18.60597015,74.85582323,0.836,"4,465,075"
Elazığ,494,1797,1284,1640,9709,35190,39717,43460,550,2171,2721,3152,206,187,141,98,,90.48,93.62,49.01,17.65272727,16.20912022,14.59647189,13.78807107,47.13106796,188.1818182,281.6808511,443.4693878,19.65384615,19.58263773,30.93224299,26.5,57.93581936,0.762,"7,420,188"
Erzincan,256,890,691,727,5420,11787,12771,14885,331,925,1181,1248,121,91,73,52,,91.17,92.81,42.19,16.37462236,12.7427027,10.81371719,11.92708333,44.79338843,129.5274725,174.9452055,286.25,21.171875,13.24382022,18.48191027,20.47455296,78.91306868,0.769,"3,540,277"
