Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,,,,,,
Adana,1867,6397,4654,5531,42386,156224,164006,162028,2349,8730,9800,9674,682,512,372,277,,91.63,94.04,47.1,18.04427416,17.89507446,16.73530612,16.74881125,62.14956012,305.125,440.8763441,584.9386282,22.70273166,24.42144755,35.23979373,29.29452179,33.00164302,0.804,"17,314,114",,,,,
Adıyaman,572,2044,1970,1757,13049,49334,52053,52766,693,2919,3525,3200,325,437,245,103,,91.77,95.39,36.74,18.82972583,16.90099349,14.76680851,16.489375,40.15076923,112.8924485,212.4612245,512.2912621,22.81293706,24.13600783,26.42284264,30.03187251,38.67523714,0.757,"6,466,577",,,,,
Afyonkarahisar,723,3121,2340,2110,12444,40888,47537,47507,790,3008,3446,3194,399,373,286,140,,90.12,94.77,38.47,15.75189873,13.59308511,13.79483459,14.87382592,31.18796992,109.6193029,166.2132867,339.3357143,17.21161826,13.10092919,20.31495726,22.51516588,43.02254408,0.828,"6,383,513",,,,,
Ağrı,577,3236,1713,1339,11910,52206,56000,37671,482,2669,2920,1733,410,604,260,72,,94.2,93.2,29.21,24.70954357,19.56013488,19.17808219,21.73744951,29.04878049,86.43377483,215.3846154,523.2083333,20.64124783,16.1328801,32.69118506,28.13368185,29.70389829,0.792,"4,686,889",,,,,
Amasya,376,1064,1105,1014,6581,16508,18591,23368,432,1263,1695,1746,173,117,111,70,,91.15,94.92,46.57,15.2337963,13.07046714,10.96814159,13.38373425,38.04046243,141.0940171,167.4864865,333.8285714,17.50265957,15.51503759,16.82443439,23.04536489,50.94520969,0.812,"3,313,884",,,,,
Ankara,5850,13153,11477,14419,86461,302808,332623,372006,6284,19123,22236,28079,1612,820,789,795,,90.98,94.98,50.42,13.75891152,15.83475396,14.95876057,13.24854874,53.63585608,369.2780488,421.5754119,467.9320755,14.77965812,23.02197217,28.98170254,25.79970872,98.1708258,0.845,"107,388,870",,,,,
Antalya,3071,8044,4722,6108,52485,135816,151666,166203,3438,8687,10225,10719,951,538,602,353,,89.66,93.54,51.66,15.26614311,15.63439622,14.83286064,15.5054576,55.18927445,252.4460967,251.9368771,470.8300283,17.09052426,16.88413725,32.11901737,27.21070727,32.70019954,0.804,"16,551,860",,,,,
Artvin,145,656,362,504,2754,6901,8442,10296,140,532,619,799,73,52,60,46,,90.89,97.08,50.78,19.67142857,12.97180451,13.63812601,12.88610763,37.7260274,132.7115385,140.7,223.826087,18.99310345,10.51981707,23.32044199,20.42857143,64.87475786,0.814,"1,841,989",,,,,
Aydın,992,3546,2616,2779,18630,53240,60838,65671,1214,4094,4671,4940,446,344,246,166,,90.41,94.82,50.04,15.34596376,13.00439668,13.02462,13.2937247,41.77130045,154.7674419,247.3089431,395.6084337,18.78024194,15.01410039,23.25611621,23.63116229,43.27320432,0.828,"8,584,495",,,,,
Balıkesir,1144,3439,2661,2653,20941,52808,61899,70306,1216,3941,4846,5293,487,343,254,174,,90.74,94.95,45.13,17.22121711,13.39964476,12.77321502,13.28282637,43,153.9591837,243.6968504,404.0574713,18.30506993,15.35562664,23.26155581,26.5005654,42.86250328,0.806,"8,827,704",,,,,
Bilecik,250,761,491,613,4113,10215,11907,13825,235,624,799,892,75,59,57,50,,89.94,94.24,37.82,17.50212766,16.37019231,14.90237797,15.49887892,54.84,173.1355932,208.8947368,276.5,16.452,13.42312746,24.25050916,22.55301794,45.52473789,0.812,"1,823,721",,,,,
