Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1931,6817,5219,5975,30788,167918,159619,176416,2532,7819,7669,7262,666,504,382,307,44.54,93.74,88.9,87.05,12.15955766,21.47563627,20.81353501,24.29303222,46.22822823,333.1706349,417.8507853,574.6449511,15.94407043,24.63224292,30.58421153,29.52569038,27.14664295,0.81,"14,516,423"
Adıyaman,606,2312,2213,1960,12020,49715,48394,57792,814,2807,3187,2242,311,403,230,117,64.05,93.04,89.08,87.6,14.76658477,17.71107944,15.1848133,25.77698483,38.64951768,123.3622829,210.4086957,493.9487179,19.8349835,21.50302768,21.86805242,29.48571429,21.91953359,0.768,"3,680,750"
Afyonkarahisar,737,3136,2269,2139,10800,42232,41729,51516,831,2744,2706,2418,374,359,286,143,65.44,92.36,87.93,84.72,12.99638989,15.39067055,15.42091648,21.30521092,28.87700535,117.637883,145.9055944,360.2517483,14.65400271,13.46683673,18.39092111,24.08415147,28.80414556,0.81,"4,213,384"
Ağrı,633,3482,1783,1397,11255,49021,50222,42867,655,2836,2141,940,445,580,265,79,64.08,92.49,87.96,64.43,17.18320611,17.28526093,23.45726296,45.60319149,25.29213483,84.51896552,189.5169811,542.6202532,17.78041074,14.07840322,28.16713404,30.68503937,26.30962084,0.792,"4,034,975"
Amasya,372,1159,1084,1118,5312,16534,17013,23738,484,1517,1436,1473,164,118,100,72,80.59,93.92,90.67,98.27,10.97520661,10.89914305,11.84749304,16.11541073,32.3902439,140.1186441,170.13,329.6944444,14.27956989,14.26574633,15.69464945,21.23255814,42.53459431,0.811,"2,662,538"
Ankara,6361,15744,13463,16826,58195,318119,315992,417228,6550,18124,16028,20145,1692,883,860,921,38.14,93.78,90.45,95.79,8.884732824,17.55236151,19.71499875,20.71124348,34.39420804,360.2706682,367.4325581,453.0162866,9.148718755,20.20572917,23.47114313,24.79662427,94.70444619,0.807,"105,077,803"
Antalya,3118,8595,5107,6771,44050,147949,143103,185620,3750,7688,7984,7260,931,552,600,391,68.45,92.99,88.87,92.59,11.74666667,19.24414672,17.92372244,25.56749311,47.31471536,268.0235507,238.505,474.7314578,14.12764593,17.21337987,28.02095164,27.41397135,25.7059525,0.81,"13,385,655"
Artvin,150,590,348,581,2526,7162,7199,10370,206,593,809,785,72,49,55,42,80.94,93.12,89.83,95.65,12.26213592,12.07757167,8.898640297,13.21019108,35.08333333,146.1632653,130.8909091,246.9047619,16.84,12.13898305,20.68678161,17.84853701,160.7735994,0.815,"4,382,206"
Aydın,1002,3660,2388,2945,13949,56079,55577,67748,1271,3765,3951,3921,443,338,246,183,58.56,93.75,89.79,90.08,10.97482297,14.89482072,14.06656543,17.27824535,31.48758465,165.9142012,225.9227642,370.2076503,13.92115768,15.32213115,23.27345059,23.00441426,33.2680848,0.831,"6,432,484"
Balıkesir,1251,3394,2716,2860,15993,55664,54690,72081,1478,3676,4184,4377,476,326,259,188,70.7,93.64,89.8,91.19,10.82070365,15.14254625,13.07122371,16.46812886,33.5987395,170.7484663,211.1583012,383.4095745,12.78417266,16.40070713,20.13622975,25.20314685,41.34893261,0.848,"8,204,786"
Bilecik,257,703,475,564,3420,11084,10695,13794,264,657,627,828,71,53,51,43,70.56,93.43,89.75,91.94,12.95454545,16.87062405,17.05741627,16.65942029,48.16901408,209.1320755,209.7058824,320.7906977,13.307393,15.76671408,22.51578947,24.45744681,37.19085477,0.804,"1,450,183"
