Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1095,5905,3526,3939,30487,165609,153928,188282,1624,8767,7908,8463,572,570,365,223,50.39,96.3,93.96,80.48,18.77278325,18.8900422,19.46484573,22.24766631,53.29895105,290.5421053,421.7205479,844.3139013,27.84200913,28.04555461,43.6551333,47.79944148,20.88876773,0.699,"11,244,549"
Adıyaman,462,1851,1750,1356,10024,51812,49201,56253,606,3025,3048,2707,300,515,207,86,53.66,97.37,94.62,76.9,16.54125413,17.12793388,16.14206037,20.7805689,33.41333333,100.6058252,237.6859903,654.1046512,21.6969697,27.99135602,28.11485714,41.48451327,23.30132106,0.634,"3,898,078"
Afyonkarahisar,536,3058,1716,1625,9840,46043,44272,48375,612,2997,2907,2689,363,380,272,120,59.9,95.02,94.28,79.99,16.07843137,15.3630297,15.22944616,17.98995909,27.10743802,121.1657895,162.7647059,403.125,18.35820896,15.05657292,25.7995338,29.76923077,28.10565542,0.733,"4,174,533"
Ağrı,430,2823,1239,842,9471,62733,60411,38811,462,2628,2960,1616,357,639,212,55,32.22,98.95,87.05,51.54,20.5,23.87100457,20.40912162,24.01670792,26.52941176,98.17370892,284.9575472,705.6545455,22.0255814,22.22210414,48.75786925,46.09382423,17.62260101,0.629,"3,020,972"
Amasya,262,1115,907,886,5517,17790,19294,24227,353,1435,1558,1608,150,134,94,56,72.28,95.67,98.04,93.3,15.62889518,12.39721254,12.38382542,15.06654229,36.78,132.761194,205.2553191,432.625,21.05725191,15.95515695,21.27232635,27.34424379,33.1242144,0.694,"2,213,625"
Ankara,4126,11767,8870,9814,41212,315060,306973,365326,5802,18340,19269,23386,1406,808,678,550,60.49,95.72,96.68,88.93,7.103067908,17.17884406,15.93092532,15.62156846,29.31152205,389.9257426,452.7625369,664.2290909,9.988366457,26.7748789,34.60800451,37.22498472,62.8105352,0.764,"64,605,095"
Antalya,1994,7725,3585,4393,61835,143211,138819,157558,2537,8740,8174,8341,730,607,482,247,71.03,93.17,94.36,83.24,24.37327552,16.38569794,16.98299486,18.88958158,84.70547945,235.9324547,288.0062241,637.8866397,31.01053159,18.53864078,38.72217573,35.86569542,20.72408725,0.703,"10,391,534"
Artvin,109,763,347,551,17257,8255,8837,11859,131,602,765,877,68,63,65,41,68.11,96.28,97.21,92.32,131.7328244,13.71262458,11.55163399,13.52223489,253.7794118,131.031746,135.9538462,289.2439024,158.3211009,10.81913499,25.46685879,21.52268603,26.92548909,0.708,"1,244,173"
Aydın,763,3358,2482,2183,9483,57686,56671,65860,964,4034,4144,4319,404,370,236,122,67.66,95.17,96.01,84.23,9.837136929,14.29995042,13.67543436,15.24890021,23.47277228,155.9081081,240.1313559,539.8360656,12.42857143,17.17867778,22.83279613,30.16949153,28.67443859,0.731,"5,439,541"
Balıkesir,704,3391,2160,2289,9396,57918,59646,71581,952,4026,4198,4702,431,402,244,154,65.95,94.85,95.92,85.15,9.869747899,14.38599106,14.20819438,15.22352191,21.80046404,144.0746269,244.4508197,464.8116883,13.34659091,17.07991743,27.61388889,31.27173438,28.529815,0.746,"5,664,338"
Bilecik,136,743,351,591,7535,10934,11492,13350,154,659,641,868,60,60,53,40,70.92,94.57,95.84,91.5,48.92857143,16.59180577,17.92823713,15.38018433,125.5833333,182.2333333,216.8301887,333.75,55.40441176,14.71601615,32.74074074,22.58883249,29.25127566,0.752,"1,266,902"
Bingöl,199,1051,778,550,8550,21530,21337,23155,220,1162,1280,1105,126,274,90,36,46.53,97.65,92.82,69.76,38.86363636,18.52839931,16.66953125,20.95475113,67.85714286,78.57664234,237.0777778,643.1944444,42.96482412,20.48525214,27.42544987,42.1,25.45749075,0.645,"1,898,416"
Bitlis,309,2179,868,651,5477,35691,35454,28197,340,1720,1936,1207,237,461,160,49,43.33,98.56,90.38,58.8,16.10882353,20.7505814,18.31301653,23.36122618,23.10970464,77.4208243,221.5875,575.4489796,17.72491909,16.3795319,40.84562212,43.31336406,22.21518045,0.645,"2,328,573"
